Contract_ID,Lessee_ID,Owner_ID,WH_ID,Start_date,End_date,NumSkids,StorPref,TotPrice,Deposit,Status
1,3395,1514,251,11/26/2018,12/16/2018,91,dry,852.06,85.206,Declined
2,17702,25693,250,7/11/2018,10/26/2018,133,dry,10105.96,1010.596,Terminated
3,38682,29235,296,1/15/2018,9/27/2018,84,cooler,8901.33,890.133,Declined
4,6815,20449,91,8/25/2018,12/1/2018,89,climate_controlled,3899.81,389.981,Declined
5,31041,22232,71,5/3/2018,5/10/2018,84,climate_controlled,148.47,14.847,Declined
6,26214,33546,5,4/27/2018,12/23/2018,124,climate_controlled,9079.65,907.965,Accepted
7,250,23666,356,12/2/2018,12/22/2018,131,climate_controlled,1323.06,132.306,Active
8,20478,32760,237,11/30/2018,12/24/2018,89,climate_controlled,1573.03,157.303,Terminated
9,25454,34694,365,2/3/2018,12/14/2018,129,cooler,9162.12,916.212,Terminated
10,35426,15410,307,3/15/2018,4/8/2018,111,dry,574.55,57.455,Active
11,38772,30217,76,11/5/2018,12/17/2018,74,climate_controlled,1160.77,116.077,Active
12,12006,8431,180,1/22/2018,11/12/2018,82,climate_controlled,12681.47,1268.147,Accepted
13,8567,21102,320,6/26/2018,8/12/2018,123,dry,2524,252.4,Pending
14,30168,23431,283,5/19/2018,11/10/2018,116,climate_controlled,7474.85,747.485,Active
15,16704,16884,338,11/29/2018,12/27/2018,75,climate_controlled,563.38,56.338,Terminated
16,14868,20656,26,5/25/2018,10/20/2018,104,dry,9473.04,947.304,Accepted
17,9663,32759,181,9/15/2018,12/1/2018,44,dry,1033.66,103.366,Terminated
18,12754,21705,28,2/8/2018,8/11/2018,88,dry,4940.11,494.011,Active
19,8205,35106,137,4/11/2018,5/19/2018,110,cooler,857.53,85.753,Active
20,29176,25456,346,7/5/2018,10/17/2018,119,climate_controlled,7681.94,768.194,Declined
21,5868,18214,131,11/25/2018,11/27/2018,107,dry,60.79,6.079,Terminated
22,11671,33546,177,6/9/2018,11/25/2018,147,climate_controlled,6534.05,653.405,Active
23,16742,37401,205,5/30/2018,8/14/2018,77,climate_controlled,2431.87,243.187,Terminated
24,36546,12743,293,2/6/2018,9/3/2018,101,climate_controlled,6662.35,666.235,Pending
25,25861,29271,75,5/14/2018,8/9/2018,158,climate_controlled,3036.92,303.692,Terminated
26,36987,15078,229,5/1/2018,7/6/2018,74,climate_controlled,2826.03,282.603,Pending
27,15353,19389,232,3/26/2018,5/3/2018,127,climate_controlled,761.58,76.158,Pending
28,32364,20449,326,2/8/2018,5/17/2018,109,climate_controlled,4776.17,477.617,Accepted
29,19715,18836,119,9/10/2018,11/19/2018,65,dry,2393.42,239.342,Declined
30,28708,26171,275,9/15/2018,12/8/2018,80,climate_controlled,3252.11,325.211,Terminated
31,10508,39809,107,9/24/2018,12/28/2018,132,climate_controlled,4881.32,488.132,Terminated
32,40173,19974,25,3/12/2018,4/19/2018,142,climate_controlled,2355.91,235.591,Terminated
33,12942,4854,351,9/17/2018,10/8/2018,71,climate_controlled,556.86,55.686,Terminated
34,31543,30717,273,11/29/2018,12/5/2018,114,dry,323.82,32.382,Active
35,11569,33546,282,7/9/2018,12/6/2018,124,frozen,7729.45,772.945,Pending
36,13431,36026,353,11/14/2018,12/6/2018,90,climate_controlled,1093.61,109.361,Accepted
37,35480,36491,88,4/22/2018,8/22/2018,81,frozen,7381.45,738.145,Terminated
38,2969,36026,60,2/21/2018,6/20/2018,101,climate_controlled,4741.74,474.174,Pending
39,24761,15914,221,6/25/2018,10/4/2018,92,dry,4350.18,435.018,Pending
40,40221,36950,378,1/14/2018,11/30/2018,139,climate_controlled,22929.74,2292.974,Terminated
41,2376,32338,144,7/16/2018,9/6/2018,113,climate_controlled,2720.02,272.002,Terminated
42,14750,11644,354,2/28/2018,6/23/2018,56,dry,2710.09,271.009,Pending
43,3870,7541,313,6/24/2018,7/16/2018,112,climate_controlled,648.07,64.807,Terminated
44,23678,22232,223,5/27/2018,10/19/2018,28,climate_controlled,1601.75,160.175,Terminated
45,12393,11644,328,3/8/2018,12/7/2018,62,dry,10276.58,1027.658,Active
46,4244,17618,211,12/13/2018,12/30/2018,116,climate_controlled,777.99,77.799,Declined
47,8007,30023,132,8/10/2018,12/10/2018,81,climate_controlled,3898.65,389.865,Active
48,10460,1178,249,5/1/2018,5/7/2018,135,climate_controlled,417.56,41.756,Active
49,25572,25138,213,5/23/2018,9/26/2018,113,climate_controlled,9361.97,936.197,Declined
50,11137,39481,197,4/10/2018,8/28/2018,98,climate_controlled,4618.94,461.894,Active
51,16323,8529,51,10/9/2018,10/25/2018,119,climate_controlled,460.72,46.072,Active
52,953,32760,237,6/21/2018,7/23/2018,77,climate_controlled,1814.58,181.458,Accepted
53,4785,34694,82,10/4/2018,10/25/2018,92,cooler,813.03,81.303,Pending
54,10049,16330,133,11/19/2018,11/23/2018,115,cooler,181.48,18.148,Active
55,16010,12667,366,4/4/2018,7/15/2018,116,climate_controlled,3921.09,392.109,Declined
56,29743,931,17,7/30/2018,10/10/2018,58,climate_controlled,1823.25,182.325,Terminated
57,2770,29271,75,4/7/2018,9/4/2018,82,climate_controlled,2717.46,271.746,Declined
58,34379,26171,275,12/16/2018,12/25/2018,71,climate_controlled,309.24,30.924,Active
59,5547,27952,279,4/3/2018,6/9/2018,87,climate_controlled,3526.15,352.615,Pending
60,19953,7541,298,1/10/2018,6/18/2018,97,climate_controlled,9329.86,932.986,Active
61,35568,29057,343,8/2/2018,12/8/2018,62,climate_controlled,4174.55,417.455,Declined
62,11624,36493,191,4/2/2018,6/12/2018,100,dry,2352.92,235.292,Pending
63,27142,35040,165,5/3/2018,8/27/2018,112,climate_controlled,6834.15,683.415,Active
64,28222,17148,231,6/6/2018,11/12/2018,98,dry,4917.94,491.794,Terminated
65,31151,12354,36,6/12/2018,9/14/2018,165,climate_controlled,4732.04,473.204,Declined
66,3919,13658,285,10/1/2018,11/14/2018,114,dry,2506.63,250.663,Terminated
67,592,8431,180,12/21/2018,12/28/2018,62,climate_controlled,228.3,22.83,Declined
68,37112,5909,379,11/21/2018,12/31/2018,120,climate_controlled,4166.14,416.614,Accepted
69,38842,18240,166,12/7/2018,12/16/2018,102,climate_controlled,323.54,32.354,Declined
70,33412,13880,64,9/12/2018,12/27/2018,107,climate_controlled,4116.68,411.668,Declined
71,17052,12667,366,1/18/2018,7/19/2018,100,climate_controlled,6031.43,603.143,Accepted
72,29252,10857,336,7/19/2018,8/24/2018,58,frozen,1647.52,164.752,Pending
73,507,5565,63,9/27/2018,11/29/2018,111,dry,3678.51,367.851,Declined
74,13104,20342,363,1/20/2018,12/12/2018,114,climate_controlled,29323.92,2932.392,Active
75,38014,29271,75,7/4/2018,10/2/2018,108,climate_controlled,2147.45,214.745,Declined
76,39864,10971,314,3/18/2018,11/25/2018,56,dry,3860.12,386.012,Declined
77,11823,21451,126,7/24/2018,9/1/2018,143,dry,1349.48,134.948,Accepted
78,14843,33355,43,10/24/2018,11/6/2018,87,dry,493.8,49.38,Terminated
79,9911,23552,299,7/13/2018,10/15/2018,137,climate_controlled,9145.14,914.514,Pending
80,32428,17148,15,3/19/2018,10/25/2018,49,dry,8505.86,850.586,Active
81,29847,16327,102,5/5/2018,11/5/2018,121,dry,3630.56,363.056,Pending
82,4244,13457,262,5/22/2018,9/27/2018,106,climate_controlled,7137.14,713.714,Declined
83,10133,16884,260,2/13/2018,11/21/2018,69,cooler,11525.03,1152.503,Accepted
84,17658,19974,61,12/23/2018,12/27/2018,129,climate_controlled,114,11.4,Accepted
85,30855,11136,23,11/9/2018,11/20/2018,109,dry,611.79,61.179,Accepted
86,12338,16330,120,3/29/2018,9/7/2018,95,climate_controlled,8743.21,874.321,Declined
87,1631,23552,330,1/10/2018,2/15/2018,108,climate_controlled,1227.12,122.712,Accepted
88,29071,8529,51,8/27/2018,12/23/2018,115,climate_controlled,3283.57,328.357,Pending
89,2045,19729,372,4/18/2018,9/19/2018,127,climate_controlled,10905.33,1090.533,Pending
90,3653,37017,33,5/3/2018,12/2/2018,83,climate_controlled,9299.64,929.964,Declined
91,38028,4443,98,6/5/2018,6/14/2018,126,climate_controlled,644.24,64.424,Pending
92,30035,27113,62,1/21/2018,6/4/2018,115,dry,10132.6,1013.26,Declined
93,23964,36950,1,6/3/2018,9/16/2018,87,climate_controlled,720.79,72.079,Active
94,24759,30023,132,7/7/2018,10/25/2018,127,climate_controlled,5511.45,551.145,Terminated
95,31848,27779,142,3/10/2018,10/15/2018,46,climate_controlled,3020.54,302.054,Terminated
96,4217,23830,245,4/21/2018,8/20/2018,142,dry,6778.65,677.865,Declined
97,23340,4854,172,12/29/2018,12/31/2018,129,cooler,122.14,12.214,Terminated
98,21414,30217,76,10/22/2018,10/24/2018,117,climate_controlled,87.39,8.739,Active
99,12521,35610,368,10/30/2018,11/28/2018,107,climate_controlled,375.42,37.542,Active
100,8783,17618,211,2/25/2018,6/21/2018,70,climate_controlled,3203.51,320.351,Declined
101,3661,19545,27,12/20/2018,12/29/2018,122,dry,479.39,47.939,Pending
102,21067,12743,293,11/5/2018,11/26/2018,131,climate_controlled,868.26,86.826,Terminated
103,28415,7541,298,1/26/2018,4/11/2018,59,climate_controlled,2676.82,267.682,Active
104,9555,25439,139,3/10/2018,5/5/2018,79,climate_controlled,2327.15,232.715,Active
105,20924,13457,262,9/27/2018,12/6/2018,124,climate_controlled,4565.92,456.592,Declined
106,741,33546,282,8/7/2018,8/28/2018,78,frozen,680.69,68.069,Accepted
107,27075,20449,91,11/3/2018,12/15/2018,48,climate_controlled,901.4,90.14,Terminated
108,4337,29271,75,2/6/2018,10/31/2018,86,climate_controlled,5073.03,507.303,Declined
109,28230,26171,275,6/17/2018,8/19/2018,83,climate_controlled,2530.55,253.055,Pending
110,31597,19138,238,12/23/2018,12/31/2018,52,climate_controlled,166.31,16.631,Pending
111,30060,35115,175,1/29/2018,9/24/2018,77,climate_controlled,7229.98,722.998,Terminated
112,34002,10857,187,2/7/2018,2/12/2018,109,climate_controlled,215.01,21.501,Active
