LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-84.905227,40.7597093,1712,E 100 N,,MONROE,,IN,46772,,2581901d7dfd8a11
-85.0295825,40.7147335,4885,W 200 S-1,,BLUFFTON,,IN,46714,,c33b29c920e7a6cb
-84.9876409,40.8621635,,N 250 W,,DECATUR,,IN,46733,,482cde6e661c2cdc
-84.9845381,40.8634787,8150,N 250 W,,DECATUR,,IN,46733,,5abca65ab0fa171c
-84.9096634,40.841456,,SYCAMORE ST,,DECATUR,,IN,46733,,2a82aa1e8baa906c
-84.9914734,40.7584704,2858,W 100 N,,MONROE,,IN,46772,,8127d2016afd3c4e
-84.9773625,40.6901226,,S 200 W,,BERNE,,IN,46711,,3415f5b5f238370e
-84.9173337,40.8345837,,E JACKSON ST,,DECATUR,,IN,46733,,c6be3a267b0ee520
-84.8979551,40.8464371,6891,N 200 E,,DECATUR,,IN,46733,,bde133d11ec228b2
-84.9402517,40.7437937,117,W JACKSON ST,,MONROE,,IN,46772,,7eb88f5fe03132eb
-85.0334384,40.6424472,5090,W 700 S,,GENEVA,,IN,46740,,dba02c84c6054ea7
-85.0323055,40.6427417,7031,2ND ST,,GENEVA,,IN,46740,,0a0056822a9a888d
-84.9484638,40.6847264,,W 400 S,,BERNE,,IN,46711,,538dc4c8665b6114
-84.9335892,40.8119278,1640,WINCHESTER ST,,DECATUR,,IN,46733,,b32e1bf52f4e2162
-84.9206552,40.8254,431,MERCER AVE,,DECATUR,,IN,46733,,0f10db817af614ed
-84.8588306,40.754954,,N SALEM RD,,DECATUR,,IN,46733,,98bb02e5bfb2e548
-84.8981226,40.6499922,6600,S 200 E,,BERNE,,IN,46711,,562e062d373f1008
-84.8521119,40.75927,,E 100 N,,DECATUR,,IN,46733,,2467cdbbdf8a3077
-84.8522162,40.7555323,,N SALEM RD,,DECATUR,,IN,46733,,fb9940f112dda96a
-85.0334565,40.6419529,,W 700 S,,GENEVA,,IN,46740,,718fddee1aea843e
-84.9386874,40.7427661,,CENTER ST,,MONROE,,IN,46772,,ed5907c87b4789b1
-84.9438084,40.8323339,,W US HWY 224,,DECATUR,,IN,46733,,40d01a8f01f23ed7
-84.9999868,40.6311952,,W 750 S,,GENEVA,,IN,46740,,d2dd2dd823fc03e6
-84.8954234,40.8317424,1040,LAKE SHORES DR,,DECATUR,,IN,46733,,3e14efc41de3f108
-84.9261423,40.832062,227,N 3RD ST,,DECATUR,,IN,46733,,7e6d89d1a6726c48
-85.0679842,40.8306142,6766,W US HIGHWAY 224,,DECATUR,,IN,46733,,d1a7427eafd5d82f
-85.0522859,40.5794883,,W 1100 S,,GENEVA,,IN,46740,,a5018272d37e31f6
-84.9798906,40.824195,2240,W 550 N,,DECATUR,,IN,46733,,23a6aad65e88d00c
-84.9298207,40.8169952,1116,WINCHESTER ST,,DECATUR,,IN,46733,,955507e4f8857d3f
-84.95612,40.8138273,4767,N 100 W,,DECATUR,,IN,46733,,988792529085d992
-85.0689934,40.7582287,6959,W 100 N,,DECATUR,,IN,46733,,fcb13d9ee7b3f072
-85.054476,40.7573222,6126,W 100 N,,DECATUR,,IN,46733,,9d0ed8483bf6d14f
-85.007837,40.6560692,,W 600 S,,BERNE,,IN,46711,,5b00dffdccf7d864
-84.9006401,40.6637446,,S 200 E,,BERNE,,IN,46711,,e18949dcf09369af
-84.9196869,40.6629692,,S 100 E,,BERNE,,IN,46711,,7bc4415d6fefd0ce
-84.9022712,40.6870197,1772,E 400 S,,BERNE,,IN,46711,,42d09aea57903e6e
-84.9006586,40.6857376,,E 400 S,,BERNE,,IN,46711,,1e78314055906f59
-84.8708523,40.7209696,,E 200 S,,MONROE,,IN,46772,,b3cc9db44041836e
-84.8721998,40.7281099,3390,E 100 S,,MONROE,,IN,46772,,f8288c79cf49d2e5
-84.8876016,40.6576243,2570,E STATE RD 218,,BERNE,,IN,46711,,be0efca50d6ff194
-84.8411151,40.6627835,,E STATE ROAD 218,,BERNE,,IN,46711,,c58997d94e78aece
-84.9554602,40.8899114,888,W 1000 N,,DECATUR,,IN,46733,,fac937330c02cdef
-84.9535209,40.8898127,814,W 1000 N,,DECATUR,,IN,46733,,b35faa65717acf30
-84.8297974,40.7969298,,N PIQUA RD,,DECATUR,,IN,46733,,f017010b13ed81ee
-84.9282308,40.8184977,1039,WINCHESTER ST,,DECATUR,,IN,46733,,80bef4d8505d197c
-84.9515008,40.7720244,,N 100 W,,DECATUR,,IN,46733,,b07bdb3df692fa7b
-84.9815701,40.7481779,,W STATE ROAD 124,,MONROE,,IN,46772,,15baca81d18294cf
-84.9820358,40.749537,2415,W STATE ROAD 124,,MONROE,,IN,46772,,2aa55cbb7e80363d
-84.9840507,40.7483607,,W STATE ROAD 124,,MONROE,,IN,46772,,1aa994f3b0ed7082
-84.954501,40.6096844,,W 950 S,,GENEVA,,IN,46740,,5edfc1d162ffb8ad
-84.9913089,40.7627041,,W 100 N,,MONROE,,IN,46772,,3bf79514df26b6c2
-84.9011753,40.595524,,E 1000 S,,GENEVA,,IN,46740,,d6aba518501f53fa
-84.9022802,40.5942536,,E 1000 S,,GENEVA,,IN,46740,,8ce4ef2232a271dc
-84.9054621,40.5944615,,S 150 E,,GENEVA,,IN,46740,,2dfc6e80850970ee
-84.9008457,40.5971483,,E 1000 S,,GENEVA,,IN,46740,,b607903d3b814965
-84.8284985,40.7052729,5625,E 300 S,,MONROE,,IN,46772,,acbdd20a80d4b367
-84.9222773,40.8299654,107,S 1ST ST,,DECATUR,,IN,46733,,af7c62cc9e6f5983
-84.8655861,40.9203396,,E 1200 N,,MONROEVILLE,,IN,46773,,789a22e36bec6577
-84.8649293,40.9203553,3820,E 1200 N,,MONROEVILLE,,IN,46773,,3c99ed379cfc2764
-84.8621609,40.9207973,11998,N STATE ROAD 101,,MONROEVILLE,,IN,46773,,177cd668cbf75ecc
-84.8629176,40.9207778,,E 1200 N,,MONROEVILLE,,IN,46773,,07a0ceab433ae27c
-84.8404735,40.8412605,,E US HIGHWAY 224,,DECATUR,,IN,46733,,879d23a733e87328
-84.9284101,40.8255285,344,LINE ST,,DECATUR,,IN,46733,,af19fcc238ff21a7
-84.9287306,40.8269132,616,ADAMS ST,,DECATUR,,IN,46733,,040316cff7982272
-84.9200684,40.8258492,433,S 1ST ST,,DECATUR,,IN,46733,,42e5068a123587b6
-84.818989,40.7164042,,E 200 S,,MONROE,,IN,46772,,7d8445863c16e810
-84.8094071,40.7056719,2949,S 650 E,,MONROE,,IN,46772,,7d0aeaebd389d8ff
-85.0482009,40.6834443,,W 400 S,,BERNE,,IN,46711,,6783d0a2536c1b53
-85.0477819,40.6854281,5875,W 400 S,,BERNE,,IN,46711,,d6645eaff6cd1895
-84.8562254,40.5894173,,S 400 E,,GENEVA,,IN,46740,,28ac0035f7d42010
-84.8967361,40.8837958,,N 200 E,,DECATUR,,IN,46733,,3e662ac4be1efd5f
-84.9355199,40.8708255,,N 000 RD,,DECATUR,,IN,46733,,8b2b1f4b7f8b26e5
-84.871919,40.9135444,3445,E 1150 N,,MONROEVILLE,,IN,46773,,a39383375442ec93
