count,lon,lat,area
127,-85.1,40.5,"POLYGON((-85.1 40.5,-85.1 40.6,-85.0 40.6,-85.0 40.5,-85.1 40.5))"
935,-85.0,40.5,"POLYGON((-85.0 40.5,-85.0 40.6,-84.9 40.6,-84.9 40.5,-85.0 40.5))"
226,-84.9,40.5,"POLYGON((-84.9 40.5,-84.9 40.6,-84.8 40.6,-84.8 40.5,-84.9 40.5))"
801,-85.1,40.6,"POLYGON((-85.1 40.6,-85.1 40.7,-85.0 40.7,-85.0 40.6,-85.1 40.6))"
3305,-85.0,40.6,"POLYGON((-85.0 40.6,-85.0 40.7,-84.9 40.7,-84.9 40.6,-85.0 40.6))"
1023,-84.9,40.6,"POLYGON((-84.9 40.6,-84.9 40.7,-84.8 40.7,-84.8 40.6,-84.9 40.6))"
635,-85.1,40.7,"POLYGON((-85.1 40.7,-85.1 40.8,-85.0 40.8,-85.0 40.7,-85.1 40.7))"
1718,-85.0,40.7,"POLYGON((-85.0 40.7,-85.0 40.8,-84.9 40.8,-84.9 40.7,-85.0 40.7))"
1299,-84.9,40.7,"POLYGON((-84.9 40.7,-84.9 40.8,-84.8 40.8,-84.8 40.7,-84.9 40.7))"
869,-85.1,40.8,"POLYGON((-85.1 40.8,-85.1 40.9,-85.0 40.9,-85.0 40.8,-85.1 40.8))"
6941,-85.0,40.8,"POLYGON((-85.0 40.8,-85.0 40.9,-84.9 40.9,-84.9 40.8,-85.0 40.8))"
1671,-84.9,40.8,"POLYGON((-84.9 40.8,-84.9 40.9,-84.8 40.9,-84.8 40.8,-84.9 40.8))"
185,-85.1,40.9,"POLYGON((-85.1 40.9,-85.1 41.0,-85.0 41.0,-85.0 40.9,-85.1 40.9))"
198,-85.0,40.9,"POLYGON((-85.0 40.9,-85.0 41.0,-84.9 41.0,-84.9 40.9,-85.0 40.9))"
193,-84.9,40.9,"POLYGON((-84.9 40.9,-84.9 41.0,-84.8 41.0,-84.8 40.9,-84.9 40.9))"
