count,lon,lat,area
358,-85.4,40.9,"POLYGON((-85.4 40.9,-85.4 41.0,-85.3 41.0,-85.3 40.9,-85.4 40.9))"
1986,-85.3,40.9,"POLYGON((-85.3 40.9,-85.3 41.0,-85.2 41.0,-85.2 40.9,-85.3 40.9))"
1267,-85.2,40.9,"POLYGON((-85.2 40.9,-85.2 41.0,-85.1 41.0,-85.1 40.9,-85.2 40.9))"
1517,-85.1,40.9,"POLYGON((-85.1 40.9,-85.1 41.0,-85.0 41.0,-85.0 40.9,-85.1 40.9))"
708,-85.0,40.9,"POLYGON((-85.0 40.9,-85.0 41.0,-84.9 41.0,-84.9 40.9,-85.0 40.9))"
1018,-84.9,40.9,"POLYGON((-84.9 40.9,-84.9 41.0,-84.8 41.0,-84.8 40.9,-84.9 40.9))"
4593,-85.4,41.0,"POLYGON((-85.4 41.0,-85.4 41.1,-85.3 41.1,-85.3 41.0,-85.4 41.0))"
17721,-85.3,41.0,"POLYGON((-85.3 41.0,-85.3 41.1,-85.2 41.1,-85.2 41.0,-85.3 41.0))"
49040,-85.2,41.0,"POLYGON((-85.2 41.0,-85.2 41.1,-85.1 41.1,-85.1 41.0,-85.2 41.0))"
17564,-85.1,41.0,"POLYGON((-85.1 41.0,-85.1 41.1,-85.0 41.1,-85.0 41.0,-85.1 41.0))"
916,-85.0,41.0,"POLYGON((-85.0 41.0,-85.0 41.1,-84.9 41.1,-84.9 41.0,-85.0 41.0))"
374,-84.9,41.0,"POLYGON((-84.9 41.0,-84.9 41.1,-84.8 41.1,-84.8 41.0,-84.9 41.0))"
345,-85.4,41.1,"POLYGON((-85.4 41.1,-85.4 41.2,-85.3 41.2,-85.3 41.1,-85.4 41.1))"
2461,-85.3,41.1,"POLYGON((-85.3 41.1,-85.3 41.2,-85.2 41.2,-85.2 41.1,-85.3 41.1))"
30550,-85.2,41.1,"POLYGON((-85.2 41.1,-85.2 41.2,-85.1 41.2,-85.1 41.1,-85.2 41.1))"
26052,-85.1,41.1,"POLYGON((-85.1 41.1,-85.1 41.2,-85.0 41.2,-85.0 41.1,-85.1 41.1))"
1828,-85.0,41.1,"POLYGON((-85.0 41.1,-85.0 41.2,-84.9 41.2,-84.9 41.1,-85.0 41.1))"
1361,-84.9,41.1,"POLYGON((-84.9 41.1,-84.9 41.2,-84.8 41.2,-84.8 41.1,-84.9 41.1))"
82,-85.4,41.2,"POLYGON((-85.4 41.2,-85.4 41.3,-85.3 41.3,-85.3 41.2,-85.4 41.2))"
802,-85.3,41.2,"POLYGON((-85.3 41.2,-85.3 41.3,-85.2 41.3,-85.2 41.2,-85.3 41.2))"
5603,-85.2,41.2,"POLYGON((-85.2 41.2,-85.2 41.3,-85.1 41.3,-85.1 41.2,-85.2 41.2))"
3548,-85.1,41.2,"POLYGON((-85.1 41.2,-85.1 41.3,-85.0 41.3,-85.0 41.2,-85.1 41.2))"
1833,-85.0,41.2,"POLYGON((-85.0 41.2,-85.0 41.3,-84.9 41.3,-84.9 41.2,-85.0 41.2))"
454,-84.9,41.2,"POLYGON((-84.9 41.2,-84.9 41.3,-84.8 41.3,-84.8 41.2,-84.9 41.2))"
