count,lon,lat,area
328,-87.7,37.8,"POLYGON((-87.7 37.8,-87.7 37.9,-87.6 37.9,-87.6 37.8,-87.7 37.8))"
32,-87.6,37.8,"POLYGON((-87.6 37.8,-87.6 37.9,-87.5 37.9,-87.5 37.8,-87.6 37.8))"
10590,-87.7,37.9,"POLYGON((-87.7 37.9,-87.7 38.0,-87.6 38.0,-87.6 37.9,-87.7 37.9))"
30055,-87.6,37.9,"POLYGON((-87.6 37.9,-87.6 38.0,-87.5 38.0,-87.5 37.9,-87.6 37.9))"
7283,-87.5,37.9,"POLYGON((-87.5 37.9,-87.5 38.0,-87.4 38.0,-87.4 37.9,-87.5 37.9))"
4701,-87.7,38.0,"POLYGON((-87.7 38.0,-87.7 38.1,-87.6 38.1,-87.6 38.0,-87.7 38.0))"
17993,-87.6,38.0,"POLYGON((-87.6 38.0,-87.6 38.1,-87.5 38.1,-87.5 38.0,-87.6 38.0))"
3031,-87.5,38.0,"POLYGON((-87.5 38.0,-87.5 38.1,-87.4 38.1,-87.4 38.0,-87.5 38.0))"
749,-87.7,38.1,"POLYGON((-87.7 38.1,-87.7 38.2,-87.6 38.2,-87.6 38.1,-87.7 38.1))"
1931,-87.6,38.1,"POLYGON((-87.6 38.1,-87.6 38.2,-87.5 38.2,-87.5 38.1,-87.6 38.1))"
414,-87.5,38.1,"POLYGON((-87.5 38.1,-87.5 38.2,-87.4 38.2,-87.4 38.1,-87.5 38.1))"
