count,lon,lat,area
5764,-86.3,39.9,"POLYGON((-86.3 39.9,-86.3 40.0,-86.2 40.0,-86.2 39.9,-86.3 39.9))"
20428,-86.2,39.9,"POLYGON((-86.2 39.9,-86.2 40.0,-86.1 40.0,-86.1 39.9,-86.2 39.9))"
20290,-86.1,39.9,"POLYGON((-86.1 39.9,-86.1 40.0,-86.0 40.0,-86.0 39.9,-86.1 39.9))"
21680,-86.0,39.9,"POLYGON((-86.0 39.9,-86.0 40.0,-85.9 40.0,-85.9 39.9,-86.0 39.9))"
1966,-85.9,39.9,"POLYGON((-85.9 39.9,-85.9 40.0,-85.8 40.0,-85.8 39.9,-85.9 39.9))"
547,-86.3,40.0,"POLYGON((-86.3 40.0,-86.3 40.1,-86.2 40.1,-86.2 40.0,-86.3 40.0))"
13416,-86.2,40.0,"POLYGON((-86.2 40.0,-86.2 40.1,-86.1 40.1,-86.1 40.0,-86.2 40.0))"
19966,-86.1,40.0,"POLYGON((-86.1 40.0,-86.1 40.1,-86.0 40.1,-86.0 40.0,-86.1 40.0))"
9554,-86.0,40.0,"POLYGON((-86.0 40.0,-86.0 40.1,-85.9 40.1,-85.9 40.0,-86.0 40.0))"
421,-85.9,40.0,"POLYGON((-85.9 40.0,-85.9 40.1,-85.8 40.1,-85.8 40.0,-85.9 40.0))"
1630,-86.3,40.1,"POLYGON((-86.3 40.1,-86.3 40.2,-86.2 40.2,-86.2 40.1,-86.3 40.1))"
806,-86.2,40.1,"POLYGON((-86.2 40.1,-86.2 40.2,-86.1 40.2,-86.1 40.1,-86.2 40.1))"
4806,-86.1,40.1,"POLYGON((-86.1 40.1,-86.1 40.2,-86.0 40.2,-86.0 40.1,-86.1 40.1))"
996,-86.0,40.1,"POLYGON((-86.0 40.1,-86.0 40.2,-85.9 40.2,-85.9 40.1,-86.0 40.1))"
173,-85.9,40.1,"POLYGON((-85.9 40.1,-85.9 40.2,-85.8 40.2,-85.8 40.1,-85.9 40.1))"
28,-86.3,40.2,"POLYGON((-86.3 40.2,-86.3 40.3,-86.2 40.3,-86.2 40.2,-86.3 40.2))"
104,-86.2,40.2,"POLYGON((-86.2 40.2,-86.2 40.3,-86.1 40.3,-86.1 40.2,-86.2 40.2))"
439,-86.1,40.2,"POLYGON((-86.1 40.2,-86.1 40.3,-86.0 40.3,-86.0 40.2,-86.1 40.2))"
64,-86.0,40.2,"POLYGON((-86.0 40.2,-86.0 40.3,-85.9 40.3,-85.9 40.2,-86.0 40.2))"
45,-85.9,40.2,"POLYGON((-85.9 40.2,-85.9 40.3,-85.8 40.3,-85.8 40.2,-85.9 40.2))"
