count,lon,lat,area
2376,-85.9,39.9,"POLYGON((-85.9 39.9,-85.9 40.0,-85.8 40.0,-85.8 39.9,-85.9 39.9))"
1615,-85.8,39.9,"POLYGON((-85.8 39.9,-85.8 40.0,-85.7 40.0,-85.7 39.9,-85.8 39.9))"
753,-85.7,39.9,"POLYGON((-85.7 39.9,-85.7 40.0,-85.6 40.0,-85.6 39.9,-85.7 39.9))"
104,-85.6,39.9,"POLYGON((-85.6 39.9,-85.6 40.0,-85.5 40.0,-85.5 39.9,-85.6 39.9))"
1291,-85.9,40.0,"POLYGON((-85.9 40.0,-85.9 40.1,-85.8 40.1,-85.8 40.0,-85.9 40.0))"
6234,-85.8,40.0,"POLYGON((-85.8 40.0,-85.8 40.1,-85.7 40.1,-85.7 40.0,-85.8 40.0))"
14735,-85.7,40.0,"POLYGON((-85.7 40.0,-85.7 40.1,-85.6 40.1,-85.6 40.0,-85.7 40.0))"
461,-85.6,40.0,"POLYGON((-85.6 40.0,-85.6 40.1,-85.5 40.1,-85.5 40.0,-85.6 40.0))"
390,-85.9,40.1,"POLYGON((-85.9 40.1,-85.9 40.2,-85.8 40.2,-85.8 40.1,-85.9 40.1))"
5022,-85.8,40.1,"POLYGON((-85.8 40.1,-85.8 40.2,-85.7 40.2,-85.7 40.1,-85.8 40.1))"
13688,-85.7,40.1,"POLYGON((-85.7 40.1,-85.7 40.2,-85.6 40.2,-85.6 40.1,-85.7 40.1))"
2316,-85.6,40.1,"POLYGON((-85.6 40.1,-85.6 40.2,-85.5 40.2,-85.5 40.1,-85.6 40.1))"
5039,-85.9,40.2,"POLYGON((-85.9 40.2,-85.9 40.3,-85.8 40.3,-85.8 40.2,-85.9 40.2))"
1869,-85.8,40.2,"POLYGON((-85.8 40.2,-85.8 40.3,-85.7 40.3,-85.7 40.2,-85.8 40.2))"
4007,-85.7,40.2,"POLYGON((-85.7 40.2,-85.7 40.3,-85.6 40.3,-85.6 40.2,-85.7 40.2))"
198,-85.6,40.2,"POLYGON((-85.6 40.2,-85.6 40.3,-85.5 40.3,-85.5 40.2,-85.6 40.2))"
205,-85.9,40.3,"POLYGON((-85.9 40.3,-85.9 40.4,-85.8 40.4,-85.8 40.3,-85.9 40.3))"
251,-85.8,40.3,"POLYGON((-85.8 40.3,-85.8 40.4,-85.7 40.4,-85.7 40.3,-85.8 40.3))"
929,-85.7,40.3,"POLYGON((-85.7 40.3,-85.7 40.4,-85.6 40.4,-85.6 40.3,-85.7 40.3))"
35,-85.6,40.3,"POLYGON((-85.6 40.3,-85.6 40.4,-85.5 40.4,-85.5 40.3,-85.6 40.3))"
