count,lon,lat,area
95,-87.3,41.2,"POLYGON((-87.3 41.2,-87.3 41.3,-87.2 41.3,-87.2 41.2,-87.3 41.2))"
232,-87.2,41.2,"POLYGON((-87.2 41.2,-87.2 41.3,-87.1 41.3,-87.1 41.2,-87.2 41.2))"
425,-87.1,41.2,"POLYGON((-87.1 41.2,-87.1 41.3,-87.0 41.3,-87.0 41.2,-87.1 41.2))"
267,-87.0,41.2,"POLYGON((-87.0 41.2,-87.0 41.3,-86.9 41.3,-86.9 41.2,-87.0 41.2))"
1790,-87.3,41.3,"POLYGON((-87.3 41.3,-87.3 41.4,-87.2 41.4,-87.2 41.3,-87.3 41.3))"
2526,-87.2,41.3,"POLYGON((-87.2 41.3,-87.2 41.4,-87.1 41.4,-87.1 41.3,-87.2 41.3))"
2588,-87.1,41.3,"POLYGON((-87.1 41.3,-87.1 41.4,-87.0 41.4,-87.0 41.3,-87.1 41.3))"
520,-87.0,41.3,"POLYGON((-87.0 41.3,-87.0 41.4,-86.9 41.4,-86.9 41.3,-87.0 41.3))"
1918,-87.3,41.4,"POLYGON((-87.3 41.4,-87.3 41.5,-87.2 41.5,-87.2 41.4,-87.3 41.4))"
6194,-87.2,41.4,"POLYGON((-87.2 41.4,-87.2 41.5,-87.1 41.5,-87.1 41.4,-87.2 41.4))"
12446,-87.1,41.4,"POLYGON((-87.1 41.4,-87.1 41.5,-87.0 41.5,-87.0 41.4,-87.1 41.4))"
1309,-87.0,41.4,"POLYGON((-87.0 41.4,-87.0 41.5,-86.9 41.5,-86.9 41.4,-87.0 41.4))"
4817,-87.3,41.5,"POLYGON((-87.3 41.5,-87.3 41.6,-87.2 41.6,-87.2 41.5,-87.3 41.5))"
15431,-87.2,41.5,"POLYGON((-87.2 41.5,-87.2 41.6,-87.1 41.6,-87.1 41.5,-87.2 41.5))"
9388,-87.1,41.5,"POLYGON((-87.1 41.5,-87.1 41.6,-87.0 41.6,-87.0 41.5,-87.1 41.5))"
2473,-87.0,41.5,"POLYGON((-87.0 41.5,-87.0 41.6,-86.9 41.6,-86.9 41.5,-87.0 41.5))"
488,-87.3,41.6,"POLYGON((-87.3 41.6,-87.3 41.7,-87.2 41.7,-87.2 41.6,-87.3 41.6))"
2409,-87.2,41.6,"POLYGON((-87.2 41.6,-87.2 41.7,-87.1 41.7,-87.1 41.6,-87.2 41.6))"
9395,-87.1,41.6,"POLYGON((-87.1 41.6,-87.1 41.7,-87.0 41.7,-87.0 41.6,-87.1 41.6))"
5050,-87.0,41.6,"POLYGON((-87.0 41.6,-87.0 41.7,-86.9 41.7,-86.9 41.6,-87.0 41.6))"
208,-87.0,41.7,"POLYGON((-87.0 41.7,-87.0 41.8,-86.9 41.8,-86.9 41.7,-87.0 41.7))"
