count,lon,lat,area
131,-86.6,41.4,"POLYGON((-86.6 41.4,-86.6 41.5,-86.5 41.5,-86.5 41.4,-86.6 41.4))"
1474,-86.5,41.4,"POLYGON((-86.5 41.4,-86.5 41.5,-86.4 41.5,-86.4 41.4,-86.5 41.4))"
195,-86.4,41.4,"POLYGON((-86.4 41.4,-86.4 41.5,-86.3 41.5,-86.3 41.4,-86.4 41.4))"
148,-86.3,41.4,"POLYGON((-86.3 41.4,-86.3 41.5,-86.2 41.5,-86.2 41.4,-86.3 41.4))"
117,-86.2,41.4,"POLYGON((-86.2 41.4,-86.2 41.5,-86.1 41.5,-86.1 41.4,-86.2 41.4))"
72,-86.1,41.4,"POLYGON((-86.1 41.4,-86.1 41.5,-86.0 41.5,-86.0 41.4,-86.1 41.4))"
23,-86.6,41.5,"POLYGON((-86.6 41.5,-86.6 41.6,-86.5 41.6,-86.5 41.5,-86.6 41.5))"
1815,-86.5,41.5,"POLYGON((-86.5 41.5,-86.5 41.6,-86.4 41.6,-86.4 41.5,-86.5 41.5))"
1239,-86.4,41.5,"POLYGON((-86.4 41.5,-86.4 41.6,-86.3 41.6,-86.3 41.5,-86.4 41.5))"
2576,-86.3,41.5,"POLYGON((-86.3 41.5,-86.3 41.6,-86.2 41.6,-86.2 41.5,-86.3 41.5))"
894,-86.2,41.5,"POLYGON((-86.2 41.5,-86.2 41.6,-86.1 41.6,-86.1 41.5,-86.2 41.5))"
292,-86.1,41.5,"POLYGON((-86.1 41.5,-86.1 41.6,-86.0 41.6,-86.0 41.5,-86.1 41.5))"
510,-86.6,41.6,"POLYGON((-86.6 41.6,-86.6 41.7,-86.5 41.7,-86.5 41.6,-86.6 41.6))"
896,-86.5,41.6,"POLYGON((-86.5 41.6,-86.5 41.7,-86.4 41.7,-86.4 41.6,-86.5 41.6))"
9453,-86.4,41.6,"POLYGON((-86.4 41.6,-86.4 41.7,-86.3 41.7,-86.3 41.6,-86.4 41.6))"
43855,-86.3,41.6,"POLYGON((-86.3 41.6,-86.3 41.7,-86.2 41.7,-86.2 41.6,-86.3 41.6))"
20306,-86.2,41.6,"POLYGON((-86.2 41.6,-86.2 41.7,-86.1 41.7,-86.1 41.6,-86.2 41.6))"
5778,-86.1,41.6,"POLYGON((-86.1 41.6,-86.1 41.7,-86.0 41.7,-86.0 41.6,-86.1 41.6))"
806,-86.6,41.7,"POLYGON((-86.6 41.7,-86.6 41.8,-86.5 41.8,-86.5 41.7,-86.6 41.7))"
535,-86.5,41.7,"POLYGON((-86.5 41.7,-86.5 41.8,-86.4 41.8,-86.4 41.7,-86.5 41.7))"
3558,-86.4,41.7,"POLYGON((-86.4 41.7,-86.4 41.8,-86.3 41.8,-86.3 41.7,-86.4 41.7))"
15420,-86.3,41.7,"POLYGON((-86.3 41.7,-86.3 41.8,-86.2 41.8,-86.2 41.7,-86.3 41.7))"
8868,-86.2,41.7,"POLYGON((-86.2 41.7,-86.2 41.8,-86.1 41.8,-86.1 41.7,-86.2 41.7))"
2532,-86.1,41.7,"POLYGON((-86.1 41.7,-86.1 41.8,-86.0 41.8,-86.0 41.7,-86.1 41.7))"
